Country,airport_code,type,name,location_raw,opening_hours_raw,url,conditions_raw,facilities_raw,slug,airport_name,terminal,City
Denmark,AAL,LOUNGE,Aalborg Airport Lounge,"Aalborg, Terminal","1 hour and 15 minutes before first flight - 30 minutes before last flight
Note: Based on scheduled departures",https://my.prioritypass.com/en-GB/lounges/denmark/aalborg/aal-aalborg-airport-lounge,"No smoking (including vaping), No dress code, Children under 2 years admitted free","Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",aal-aalborg-airport-lounge,Aalborg Airport,Unknown,Aalborg
Indonesia,AAP,LOUNGE,Blue Sky Premier Lounge,"Samarinda AP Tumenggung Pranoto Intl, Terminal",06:00 - 14:00 daily,https://my.prioritypass.com/en-GB/lounges/indonesia/aji-pangeran-tumenggung-pranoto-international/aap1-blue-sky-premier-lounge,"Maximum 2 hour stay - Children under 5 years are admitted free - Only coffee, tea, fresh juices and water available (no soft drinks) - Separate prayer room and smoking room available","Air conditioning
Conference facilities
Digital card accepted
Flight information
Luggage storage
Showers
Soft drinks
Televisions
Wi-Fi",aap1-blue-sky-premier-lounge,Apt Pranoto International Airport,Unknown,Samarinda
Nigeria,ABB,LOUNGE,VIP Lounge,"Asaba International, Terminal",07:00 - last flight,https://my.prioritypass.com/en-GB/lounges/nigeria/asaba-international/abb-vip-lounge,"Children under 2 years are admitted free - Complimentary drinks (soda, coffee, tea, bottled water and beer) are limited to two per person, all subsequent drinks are subject to payment.","Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",abb-vip-lounge,Asaba International Airport,Unknown,Asaba
Saudi Arabia,ABT,LOUNGE,Hayyak Lounge,"Al Baha Al-Aqiq, Terminal",08:00 - 23:00 daily,https://my.prioritypass.com/en-GB/lounges/saudi-arabia/al-baha-domestic/abt1-hayyak-lounge,Maximum 3 hour stay - Children under 5 years are admitted free - Complimentary massage chairs available.,"Air conditioning
Digital card accepted
Disabled access
Flight information
Massage chairs
Newspapers / magazines
Shoe shine
Soft drinks
Televisions
Wi-Fi",abt1-hayyak-lounge,Al-Baha Domestic Airport,Unknown,Al-Baha
Nigeria,ABV,LOUNGE,Pearl Lounge,"Abuja Nnamdi Azikiwe Intl, New International Terminal",24 hours daily,https://my.prioritypass.com/en-GB/lounges/nigeria/nnamdi-azikiwe-international/abv6-pearl-lounge,Maximum 3 hour stay - Children under 2 years are admitted free - Quiet area - Separate children's play area available - Separate prayer room - Separate smoking room available.,"A la carte menu
Air conditioning
Alcoholic drinks (Standard)
Conference facilities
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Showers
Soft drinks
Telephone
Televisions
Wi-Fi",abv6-pearl-lounge,Nnamdi Azikiwe International Airport,New International Terminal,Abuja
Nigeria,ABV,LOUNGE,@9tysix Lounge,"Abuja Nnamdi Azikiwe Intl, Domestic Terminal",06:00 - last flight.,https://my.prioritypass.com/en-GB/lounges/nigeria/nnamdi-azikiwe-international/abv3-9tysix-lounge,Children under 5 years are admitted free.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Newspapers / magazines
Soft drinks
Telephone
Televisions
Wi-Fi",abv3-9tysix-lounge,Nnamdi Azikiwe International Airport,Domestic Terminal,Abuja
Nigeria,ABV,LOUNGE,Lounge One,"Abuja Nnamdi Azikiwe Intl, Domestic Terminal",06:30 - 20:00 daily,https://my.prioritypass.com/en-GB/lounges/nigeria/nnamdi-azikiwe-international/abv2-lounge-one,Children under 5 years are admitted free - Complimentary drinks are limited to one per person.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",abv2-lounge-one,Nnamdi Azikiwe International Airport,Domestic Terminal,Abuja
Nigeria,ABV,LOUNGE,SDS Lounge,"Abuja Nnamdi Azikiwe Intl, New International Terminal",04:00 - 00:00 daily,https://my.prioritypass.com/en-GB/lounges/nigeria/nnamdi-azikiwe-international/abv1-sds-lounge,Children under 3 years are admitted free - Smart casual dress at all times.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Showers
Soft drinks
Telephone
Televisions
Wi-Fi",abv1-sds-lounge,Nnamdi Azikiwe International Airport,New International Terminal,Abuja
Nigeria,ABV,LOUNGE,The Gabfol Lounge,"Abuja Nnamdi Azikiwe Intl, International Terminal",07:00 - 23:00 daily,https://my.prioritypass.com/en-GB/lounges/nigeria/nnamdi-azikiwe-international/abv4-the-gabfol-lounge,Maximum 3 hour stay - Children under 5 years are admitted free.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",abv4-the-gabfol-lounge,Nnamdi Azikiwe International Airport,International Terminal,Abuja
United Kingdom,ABZ,LOUNGE,Northern Lights Executive Lounge,"Aberdeen International, Terminal","Monday: 04:00 - 19:30
Tuesday: 04:00 - 19:30
Wednesday: 04:00 - 19:00
Thursday: 04:00 - 19:30
Friday: 04:00 - 19:00
Saturday: 04:00 - 18:00
Sunday: 04:00 - 19:00",https://my.prioritypass.com/en-GB/lounges/united-kingdom/aberdeen/abz-northern-lights-executive-lounge,Maximum 3 hour stay - Children under 4 years are admitted free - All food and beverages must be consumed inside the lounge - Smart casual dress at all times.,"Air conditioning
Alcoholic drinks (Standard)
Digital card accepted
Disabled access
Flight information
Newspapers / magazines
Soft drinks
Televisions
Wi-Fi",abz-northern-lights-executive-lounge,Aberdeen International Airport,Unknown,Aberdeen
